sen1	sen2	src	score
나는 두 시간마다 남자들을 끌고 가는 나의 일상 의식에 지쳐서 반얀나무 아래에 남아 있었다.	나는 두 시간마다 고양이를 모으는 나의 매일의 의식에 지쳐서 반얀나무 아래에 남아 있었다.	main-forum	3
미국에서는, 그것은 학교에 달려있을 것이다.	그것은 정말 학교와 프로그램에 달려 있다.	main-forum	3
또한 끈이 만들어진 그것도 있다.	이 영화의 유튜브 버전 또한 있다.	main-forum	0
당신은 또한 당신이 고객과 함께 배치될 수 없는 경우에도 지불 받지 않을 수도 있음을 의미합니다.	넌 할 수는 있지만 너는 교수가 아닐 수도 있다.	main-forum	0
나도 한 번은 이렇게 했다.	나도 이런 습관이 있다.	main-forum	2
그저 당신이 알고 있는 것에 당신의 대답을 근거해야 한다. 그것이 당신이 원하는 것이다.	당신은 그것을 원할지 모르지만, 당신에게 주어진 과정이 당신이 안에서 일해야 하는 것입니다.	main-forum	0
너는 걱정할 필요 없어.	너는 걱정할 필요 없어.	main-forum	5
네가 해야 해.	당신은 그것이 말하는 것을 해야 한다.	main-forum	3
상사에게 당신이 무엇을 하길 원하는지 물어보는 게 좋을 거예요.	당신은 상사에게 무엇을 해야 하는지 알려주는 대가로 돈을 받지 않기 때문에, 상사의 말을 들어야 한다.	main-forum	2
당신이 좋아하는 것과 그렇지 않은 것을 알기 위해서는 많은 것을 읽어야 합니다.	당신은 당신이 얼마나 원하고, 그리고 당신이 어떤 충족되지 않은 욕구와 함께 살 수 있는지 결정해야 한다.	main-forum	0
그것은 당신이 탱크에 무엇을 가지고 싶은가에 달려있다.	내 생각에는 그것이 네가 원하는 것에 달려있다.	main-forum	2
너도 할 수 있어.	그래, 넌 할 수 있어.	main-forum	5
네가 해야 해.	너도 할 수 있어.	main-forum	1
당신이 여기서 무엇을 얻고 싶은지 결정해야 한다.	당신이 무엇을 하고 싶은지 알아야 한다.	main-forum	4
당신에게 제안할 게 몇 가지 있습니다	당신에게 두 가지 제안을 드리겠습니다	main-forum	4
가장 솔직한 시작을 가지고 있는 것을 확실히 하기 위해 당신은 가장 큰 방에서 시작하고 싶습니다.	당신은 진료소에서 시작해야 할 것이다. 그리고 어쩌면 보험회사로 옮겨가야 할 것이다.	main-forum	1
만일 당신이 회의를 탈선시키고 싶지 않다면, 핵심은 크게 말하는 것입니다.	이 회의에서 당신이 해야 할 중요한 일은 듣는 것이다.	main-forum	1
불행히도 당신의 질문에 대한 답은 우리가 단지 모른다는 것입니다.	"당신의 질문에 대한 나의 대답은 ""아마도 아닐 것이다""입니다."	main-forum	1
가능한 한 빨리.	가능한 그것들을 빨리 시작하세요.	main-forum	4
그저 당신이 알고 있는 것에 당신의 대답을 근거해야 한다. 그것이 당신이 원하는 것이다.	그것은 다음에 당신이 무엇을 하고 싶은지, 그리고 당신이 그것을 하고 싶은 곳에 달려 있다.	main-forum	1
"두 질문에 대한 답은 ""그렇다""이다."	"당신의 두 질문에 대한 답은 ""예""입니다."	main-forum	5
이것에 답을 해주기 위해	이 질문에 제가 답하겠습니다	main-forum	4
불행히도 당신의 질문에 대한 답은 우리가 단지 모른다는 것입니다.	미안, 나는 너의 질문에 대한 답을 모른다.	main-forum	4
규칙은 - 의심이 있을 땐 그것을 버리는 것이다!	"나는 항상 규칙에 따라간다 ""의심할 때, 그것을 버리라!"	main-forum	4
이것은 좋은 생각이 아니다.	이것은 매우 나쁜 생각처럼 들린다.	main-forum	4
네, 당신의 여권을 갱신하는 것이 아마도 좋은 생각일 거예요.	그건 좋은 생각이야.	main-forum	3
그것은 아마도 고기의 절단에 달려있을 것이다.	그것은 고기가 어떻게 잘렸느냐에 달려있다.	main-forum	4
그것은 좋은 생각이 아니야.	그것은 좋은 질문이다.	main-forum	0
그것은 너에게 꽤나 달려있다.	그것은 물어보는 게 훨씬 낫지.	main-forum	0
네, 그러는 데는 이유가 있습니다.	그래, 그게 정확히 그런 뜻이야.	main-forum	1
당신의 직원들에게 물어보려고 해 보셨나요?	물어보려고 해봤어요?	main-forum	4
너희들은 이 모든 것을 너무 복잡하게 만들고 있어.	당신은 이것을 너무 복잡하게 만들고 있다.	main-forum	5
당신은 알 필요 없어.	당신은 아무것도 할 필요가 없다.	main-forum	2
고려해야 할 두 가지가 있다.	이것에 대한 두 가지 가능한 원인들이 있다.	main-forum	4
천천히 그것을 연구해라.	그것이 효과가 있는 것 같다.	main-forum	0
당신은 아마존에서 그것을 5달러에 살 수 있다.	당신은 이베이에서 25달러나 이상으로 그것을 살 수 있다.	main-forum	2
커피는 산성이기 때문에 커피는 단순히 냄비에서 알루미늄을 집어 들게 됩니다.	한 가지 아이디어는 커피포트에서 커피 잔여물을 청소하는 것이다.	main-forum	1
시작하는 두 가지 방법이 있다: 내리는 것과 뚝뚝 떨어트리는 것.	나무를 구부리는 두 가지 전통적인 방법이 있다.	main-forum	0
그와 함께 맞는 것을 찾기 전에 다양한 시도를 해야 할지도 모른다.	내 충고는 당신이 살 수 있는 다양한 커피들을 마셔보고 좋아하는 커피를 찾는 것입니다.	main-forum	2
그것은 좋은 생각이 아니야.	그것은 좋은 생각이 아니다.	main-forum	5
그저 당신이 알고 있는 것에 당신의 대답을 근거해야 한다. 그것이 당신이 원하는 것이다.	그들은 할 수 있지만, 그것을 하는 방법은 당신이 무엇을 이용할 수 있느냐에 달려 있다.	main-forum	1
네, 당신은 당신의 경험을 언급해야 합니다.	그래, 너는 그것을 언급해야 해.	main-forum	3
내가 이해한 바로는, 네가 할 수 있는 일이 바로 이것이다.	할 수 있겠어?	main-forum	2
이것들 좀 보세요	이것 좀 보세요	main-forum	5
나는 주로 두 가지에 달려 있다고 말하고 싶다.	나는 그것이 당신이 원하는 궁극적인 결과에 달려 있다고 말하고 싶다	main-forum	2
당신이 할 수 있는 일들 몇 가지	일부를 제외하고 네가 할 수 있는 많지 않은 일들:	main-forum	1
이것은 좋은 생각이 아니다.	하지만 그것은 좋은 생각이 아니다.	main-forum	5
지금까지의 답은 이미 좋은 것이지만, 하지만 저는 스위스 지도를 추가하고 싶습니다	이미 많은 답을 가지고 있지만, 나는 카레를 다른 해결책으로 추가하고 싶다.	main-forum	0
나는 비슷한 상황에 처해 있었다.	나는 비슷한 상황을 겪었다.	main-forum	5
나도 이런 같은 문제를 겪었어.	나도 이런 같은 문제를 겪었어.	main-forum	5
최댓값은 없습니다.	격리 기간이 없습니다.	main-forum	0
나는 이것이 그 질문에 적합한 장소인지 확신하지 못하겠습니다.	나는 이 질문이 로마인들 자신에게는 큰 의미가 있었을지 확신할 수 없다.	main-forum	2
그것은 다음에 당신이 무엇을 하고 싶은지, 그리고 당신이 그것을 하고 싶은 곳에 달려 있다.	다시 말하면, 그것은 당신이 어디로 가는지, 언제 어떻게 거기서 하는지에 달려 있다.	main-forum	4
당신이 좋아하는 것과 그렇지 않은 것을 알기 위해서는 많은 것을 읽어야 합니다.	네, 당신이 할 수 있는 일과 당신이 한 일을 보여주기 위해 포트폴리오 사이트를 만들어야 합니다.	main-forum	0
당신은 키 정보를 공개하지 않습니다.	아니, 너는 그렇지 않아.	main-forum	2
그것은 다음에 당신이 무엇을 하고 싶은지, 그리고 당신이 그것을 하고 싶은 곳에 달려 있다.	내 생각엔 네가 무엇을 하느냐에 따라 달라질 것 같아.	main-forum	3
그저 당신이 알고 있는 것에 당신의 대답을 근거해야 한다. 그것이 당신이 원하는 것이다.	당신이 당신의 일을 하기 위해 필요한 것을 가지고 있다는 것을 보는 것이 그의 일이다.	main-forum	0
그것은 다음에 당신이 무엇을 하고 싶은지, 그리고 당신이 그것을 하고 싶은 곳에 달려 있다.	그것은 당신이 무엇을 성취하고 싶은가에 달려있다.	main-forum	3
이것은 교수가 다루어야 할 문제이다.	이것은 큰 문제이다.	main-forum	1
이것은 매우 특이한 요청이다.	이것은 약간 이상하게 들린다.	main-forum	3
그것은 문제의 보조금에 크게 의존한다.	나는 그것이 그 지역에 매우 많이 의존한다고 생각한다.	main-forum	2
나도 같은 걸 갖고 있어.	나도 같은 문제를 겪었다.	main-forum	4
아니요, 그것은 당신의 등급에 영향을 미치지 않습니다.	아니, 그렇지 않아.	main-forum	0
"당신의 질문에 대한 나의 대답은 ""아마도 아닐 것이다""입니다."	"나는 당신의 질문에 대한 짧은 대답은 ""아니오""라고 생각한다."	main-forum	4
나는 그것이 어떤 엄청난 차이를 만든다고 생각하지 않는다.	나는 그것이 큰 차이를 만든다고 생각하지 않는다.	main-forum	4
그것은 그들이 무엇인지에 달려있다.	그것은 그들이 무엇을 평가하고, 어떻게 평가하느냐에 달려 있다.	main-forum	2
그것에 대해 당신이 할 수 있는 것은 많지 않다.	사워도우 발효종으로 당신이 할 수 있는 일이 많지 않다.	main-forum	2
당신은 당신 자신의 질문에 대답했어요.	당신은 당신 자신의 질문에 대답했습니다.	main-forum	5
그저 당신이 알고 있는 것에 당신의 대답을 근거해야 한다. 그것이 당신이 원하는 것이다.	너에 대한 답은 문제는 네가 어떤 상황에 처하게 될지 사실 모른다는 거야.	main-forum	2
이것은 좋은 생각이 아니다.	이것은 아마도 좋은 생각이 아닐 것이다. 하지만 나는 어쨌든 그것을 제안할 것이다.	main-forum	2
당신이 할 수 있는 최선의 일은 당신의 것들을 아는 것이다.	내 권고는 아무 말도 하지 말고, 할 수 있는 한 최선을 다하는 것이다.	main-forum	0
나는 주로 두 가지에 달려 있다고 말하고 싶다.	당신이 어떤 조건을 가지고 있느냐에 따라 달라진다고 말하고 싶다.	main-forum	2
당신은 알 필요 없어.	당신은 그것을 양념하기 위해 아무것도 할 필요가 없다.	main-forum	0
나도 같은 걸 갖고 있어.	나는 같은 상황을 가지고 있고 광범위하게 여행했다.	main-forum	2
그것은 좋은 생각이 아니야.	나는 그것이 좋은 생각이라고 생각하지 않는다.	main-forum	4
당신은 올바른 길에 있다.	당신은 바로 그 표식에 있다.	main-forum	4
이건 네 질문에 대답하지 않아, 하지만	이것은 당신의 질문에 대한 부분적인 대답이다	main-forum	1
제가 어떻게 이것에 대해 진행해야 하나요?	그래서 제가 어떻게 해야 할까요?	main-forum	4
이 페이지가 당신의 질문에 답하나요?	이게 당신의 질문에 답해주나요?	main-forum	4
너도 그것을 사용할 수 있어.	너는 연습을 위해 여전히 사용할 수 있습니다.	main-forum	2
그것은 진짜 고용주가 그것을 어떻게 문서화하느냐에 달려 있다.	그건 네가 어떻게 말하는지에 달려있다.	main-forum	2
나도 이런 같은 문제를 겪었어.	저는 술집에서 일하면서 이런 문제가 있었어요.	main-forum	2
당신이 좋아하는 것과 그렇지 않은 것을 알기 위해서는 많은 것을 읽어야 합니다.	당신은 좋은 이야기를 해야 하고, 때때로 그렇게 하기 위해서는 현실/역사를 수정해야 한다.	main-forum	0
그것은 다음에 당신이 무엇을 하고 싶은지, 그리고 당신이 그것을 하고 싶은 곳에 달려 있다.	그것은 당신이 무엇을 할 수 있기를 원하는가에 달려있다.	main-forum	3
네, 당신은 캐나다에 세금 신고서를 제출해야 합니다.	과세소득이 없는 경우 캐나다에 당신은 세금 신고서를 제출할 필요가 없습니다.	main-forum	1
나는 왜 이 이것에 문제가 있어야 하는지 모르겠다.	나는 왜 그것이 문제가 되어야 하는지 모르겠다.	main-forum	5
이게 당신이 찾고 있는 것이길 바라요.	당신이 찾고 있는 것이 훨씬 더 높다면, 그들은 그림을 얻는다.	main-forum	1
당신이 할 수 있는 최선의 일은 당신의 것들을 아는 것이다.	가장 좋은 방법은 그 난잡함을 극복하는 것이다.	main-forum	0
그것은 요리와 당신이 실수를 하는 단계에서 그것이 얼마나 편리한가에 달려있다.	그것은 소스와 당신이 원하는 결과에 달려 있다.	main-forum	2
그저 당신이 알고 있는 것에 당신의 대답을 근거해야 한다. 그것이 당신이 원하는 것이다.	당신은 당신에게 옳은 일을 해야 한다.	main-forum	2
아마 당신은 지금 당장은 기회가 없을 거야.	고마워요, 지금 당장 질문은 없습니다 말하는 것	main-forum	0
그것은 정말 중요하지 않다.	그것이 정말로 멀리 떨어져 있지 않는 한 그것은 중요하지 않다.	main-forum	3
네가 모든 걸 알 필요는 없어.	당신은 알 필요 없어.	main-forum	3
나는 당신이 마이키(1992)를 찾고 있다고 생각한다.	내 생각에 넌 영화를 찾고 있는 것 같아	main-forum	3
그것은 전혀 차이를 만들지 않는다.	아니, 그것은 아무런 차이도 만들지 않는다.	main-forum	5
나는 이 질문을 하는 것이 괜찮다고 생각한다.	나는 그 질문을 해도 괜찮다고 생각한다.	main-forum	5
나는 여기서 매우 직접적으로 할 것이다.	나는 직설적으로 말할 거야, 여기. 넌 아니야.	main-forum	4
그저 당신이 알고 있는 것에 당신의 대답을 근거해야 한다. 그것이 당신이 원하는 것이다.	그래, 넌 네가 정확히 하고 싶은 대로 할 수 있어.	main-forum	1
네가 해야 해.	넌 먼저 최고가 되어야 해.	main-forum	0
그것에 대해 당신이 할 수 있는 것은 많지 않다.	유감스럽게도 당신이 할 수 있는 일이 별로 없습니다.	main-forum	5
어떤 종류의 단열재죠?	어떤 층들이 위에 있나요?	main-forum	0
그것은 전적으로 당신의 회사와 당신의 계약에 달려있다.	내 생각에 그것은 당신의 계약의 본질에 달려있다.	main-forum	4
당신은 당신 자신의 질문에 대답했어요.	이미 당신은 당신의 질문에 대답했잖아요.	main-forum	5
나는 거기에 어떤 것도 있다고 생각하지 않는다.	나는 거기에 보편적인 용어가 전혀 없다고 생각한다.	main-forum	3
네가 할 수 있는 몇 가지가 있다.	개인적인 차원에서 할 수 있는 몇 가지 최소한적으로 효과가 있는 일들이 있다.	main-forum	3
이것이 내가 가장 유용하다 생각한 팁이다:	이와 같은 것은 유용합니다.	main-forum	3
그게 내가 믿는 거야.	그래, 나는 그것이 좋은 생각이라고 믿는다.	main-forum	2
당신이 어떻게 해야 할지 모르겠다면, 전혀 하지 마세요.	만약 그렇지 않다면, 그렇게 하지 말고 당신이 하고 싶은 일과 함께 그 시간을 보내세요.	main-forum	1
그것은 모두 그녀의 머릿속에 있다.	그것은 모두 접착에 관한 것이다.	main-forum	0
당신이 어떻게 해야 할지 모르겠다면, 전혀 하지 마세요.	만약 여러분이 그것을 할 매우 강력한 과학적 이유가 없다면, 하지 마세요.	main-forum	2
당신이 좋아하는 것과 그렇지 않은 것을 알기 위해서는 많은 것을 읽어야 합니다.	당신이 무엇을 하고 싶은지 알아야 한다.	main-forum	0
나는 당신이 그것을 할 수 있다고 말하고 싶지만, 그것은 추천이 되지는 않을 것이다.	개인적으로, 나는 그것이 당신에게 적합하지 않는 한이라고 말할 것이다.	main-forum	2
할 수 있겠어?	네가 할 수 있겠어?	main-forum	5
물론, 나는 이 여행을 해봤다.	나는 이것을 수십 번도 더 해 왔다.	main-forum	3
너도 그것을 사용할 수 있어.	너도 할 수 있어.	main-forum	3
너는 그걸 어떻게 하는데?	어떻게 하면 되죠?	main-forum	5
나는 도움이 될 만한 기사를 찾았다 : htt : / / www.dsattorney.com / qa-pseudonyms-in-contracts /	나는 당신에게 도움이 될 만한 링크를 찾았어요	main-forum	3
나는 당신이 그것을 할 수 있다고 말하고 싶지만, 그것은 추천이 되지는 않을 것이다.	나는 그것을 아는 것이 불가능하다고 말할 것이다. 그러니 위험을 감수하지 마라.	main-forum	2
불행히도 당신의 질문에 대한 답은 우리가 단지 모른다는 것입니다.	당신의 질문에 대한 답은 '사실 아니다'입니다.	main-forum	1
당신이 어떻게 해야 할지 모르겠다면, 전혀 하지 마세요.	당신은 그러지 않아, 그것은 안 통할 거야.	main-forum	1
그것은 또한 맛의 문제이다.	그것은 확실히 단지 선호의 문제이다.	main-forum	5
그것은 좋은 생각이 아니야.	그것은 둘 다에게 좋은 생각이다.	main-forum	1
이 답은 미국에서 학부 수학을 가르치는 나의 경험에 근거한다.	이 답은 내가 참고문헌을 위해 연구하지 않은 경험에 근거한다.	main-forum	2
네가 해야 한다고 생각되는 몇 가지가 있다.	당신이 해야 할 일이 꽤 있다	main-forum	4
먼저 당신은 그 지역을 청소하고 싶을 것이다.	여러분은 또한 씨앗을 제거하기를 원할 것입니다.	main-forum	0
그것은 당신이 탱크에 무엇을 가지고 싶은가에 달려있다.	그것은 당신이 무엇을 성취하고 싶은가에 달려있다.	main-forum	2
당신이 고려할 수 있는 몇 가지 옵션들이 있습니다.	당신에게 좋지 않게 흘러갈 수 있는 많은 방법들이 있다.	main-forum	1
너는 걱정할 필요 없어.	당신은 티켓이 하나 있기 때문에 걱정할 필요가 없다.	main-forum	3
베트남 시민들은 미국을 방문하기 위해 비자가 필요하다.	네팔 시민들은 영국을 방문하기 위해 비자를 필요로 한다.	main-forum	1
그것은 어떻게 사용되느냐에 달려있다.	그것은 얼마나 그것이 오래 나가 있었느냐에 달려있다.	main-forum	1
나는 왜 이 이것에 문제가 있어야 하는지 모르겠다.	나는 왜 이것이 문제가 될 수 있는지 모르겠다.	main-forum	5
그것에 대해 당신이 할 수 있는 것은 많지 않다.	나는 정말로 네가 그것에 대해 할 수 있는 것이 많이 있다고 생각하지 않는다.	main-forum	5
제대로 짚었구나.	그래, 너는 받았어.	main-forum	5
그저 당신이 알고 있는 것에 당신의 대답을 근거해야 한다. 그것이 당신이 원하는 것이다.	기억하라, 우리가 말하고 있는 것은 당신의 학위라는 것이다, 당신이 무엇을 하고 싶은지 당신에게 달려있다.	main-forum	0
너는 그걸 어떻게 하는데?	네가 어떻게 그걸 할 건데?	main-forum	4
나는 비슷한 상황에 처해 있었다.	나는 비슷한 상황에 처해있다.	main-forum	4
당신의 뚜껑은 무엇으로 만들어졌나요?	당신의 논문은 무엇에 쓰입니까?	main-forum	0
당신은 어떤 비자도 필요 없어요.	당신은 소스가 전혀 필요하지 않아.	main-forum	0
그것은 당신의 문제지 당신의 상사의 문제가 아니다.	문제를 해결하기 위해 상사와 팀과 협력하십시오.	main-forum	2
그것은 다음에 당신이 무엇을 하고 싶은지, 그리고 당신이 그것을 하고 싶은 곳에 달려 있다.	다음에 하고 싶은 일은 당신에게 달려 있다.	main-forum	4
고려해야 할 두 가지가 있다.	고려해야 할 몇 가지 사항들:	main-forum	5
그것은 전적으로 당신의 회사와 당신의 계약에 달려있다.	그것은 당신의 회사에 달려있다.	main-forum	3
나무는 아마도 썩지 않았을 것이다. 그것은 그냥 지쳐있다.	그것은 단지 지쳐있고 안전하지 않다.	main-forum	3
음, 나는 그것을 내 CV에 붙이지 않을 것이다.	나는 이 일을 이력서에 올리지 않을 것이다.	main-forum	4
이건 정말 멋진 거야.	이것은 어려운 것이다.	main-forum	1
"두 질문에 대한 답은 ""그렇다""이다."	당신의 제목에 있는 두 가지 질문에 직접 답하기 위해서.	main-forum	0
네, 당신이 제안하는 것을 하지 않는 데는 이유가 있습니다.	당신이 느끼는 것처럼 느낄 타당한 이유이지만 사임할 이유는 아닙니다.	main-forum	2
나는 그것이 프로그램에 달려있다고 생각한다.	그것은 어떻게 그 용어가 사용되느냐에 달려있다 나는 생각한다.	main-forum	2
할 수 있겠어?	그래서, 너 이거 할 수 있겠어?	main-forum	5
나는 일반적인 대답이 없다고 생각한다.	나는 이것에 대한 해답이 있다고 생각하지 않는다.	main-forum	4
네가 할 수 있는 몇 가지가 있다.	네가 시도할 수 있는 몇 가지가 있다.	main-forum	5
핵심은 당신이 당신과 당신의 목표에 도움이 되는 무언가를 찾아야 한다는 것이다.	당신은 그것을 원할지 모르지만, 당신에게 주어진 과정이 당신이 안에서 일해야 하는 것입니다.	main-forum	1
당신은 알 필요 없어.	당신은 B에서 연구할 장비 / 시설이 없습니다.	main-forum	0
나는 네가 너의 리뷰를 꽤 많이 했다고 생각한다.	당신은 당신 자신의 질문에 꽤나 많이 대답을 했습니다.	main-forum	2
네가 해야 한다고 생각되는 몇 가지가 있다.	내가 이해할 수 없는 몇 가지가 있다.	main-forum	0
탄수화물과 지방보다 단백질을 소화시키는데 당신은 칼로리를 더 많이 태운다.	땀을 많이 흘릴수록 칼로리와 지방을 더 빨리 태울 수 있다.	main-forum	2
그것은 다음에 당신이 무엇을 하고 싶은지, 그리고 당신이 그것을 하고 싶은 곳에 달려 있다.	그것은 당신이 말하고/함축하고 싶은 것에 달려 있다.	main-forum	1
제대로 짚었구나.	제대로 짚었구나.	main-forum	5
당신은 당신 자신의 질문에 대답했어요.	당신은 당신 자신의 질문에 꽤나 많이 대답을 했습니다.	main-forum	5
나도 같은 걸 갖고 있어.	나는 너와 같은 문제를 가지고 있었다.	main-forum	3
네, 그것엔 화학적 차이가 있습니다.	네, 그러는 데는 이유가 있습니다.	main-forum	0
그들은 약간 수준 밖일 수 있지만, 평평한 것은 중요하다.	네, 비록 그들이 약간 신맛이 날 수는 있지만요.	main-forum	0
나는 이것을 볼 것이다: 미국.	나는 이렇게 볼 것이다:	main-forum	2
당신은 올바른 길에 있다.	넌 올바른 길에 있어.	main-forum	5
만약 당신이 안 그랬다면, 당신은 그래야 한다.	넌 그래야 하지만, 넌 그럴 필요 없어.	main-forum	1
그래, 그게 흔한 일이야!	"간단한 대답은 ""예""입니다!"	main-forum	3
나는 거기에 어떤 것도 있다고 생각하지 않는다.	나는 그것에 어떤 혜택도 없다고 생각한다.	main-forum	3
나 한태는 당신이 원하는 것에 대해 설정되어 있는 것으로 보입니다.	당신이 그것을 하고 싶은지는 당신에게 달려 있다.	main-forum	2
문제는, 그 시스템이 돈이나 직함에 대해 덜 신경 쓸 수 있는 사람들을 위하지 않는다는 것이다.	그 조커는 돈에 대해 신경 쓰지 않는다.	main-forum	1
첫 번째 경우는, 나는 당신이 그것을 필요로 하지 않는다고 생각한다.	그래서 나는 네가 그것을 표지에 올릴 필요가 있다고 생각하지 않아.	main-forum	1
양식 점검 없이는 이 질문에 대답할 수 없다.	이 질문에 대한 완전한 답을 제공하는 것은 불가능하지는 않더라도 어렵다.	main-forum	2
당신은 이력서에 이것을 추가해야 합니다. 왜냐하면 그것은 당신이 가져본 유일한 직책이기 때문입니다.	이것은 당신이 정말로 XXX에 대한 전문 지식을 가지고 있다고 주장할 수 있는 기회를 제공합니다.	main-forum	2
천천히 그것을 연구해라.	당신은 그것에 대해 천천히 작업하는군요.	main-forum	4
아니, 너는 빵 기계가 필요하지 않아.	너는 걱정할 필요 없어.	main-forum	0
예, 모델 분석에 관한 논문을 발표하는 것은 가능합니다.	네, 동료 검토 저널에 게시하는 것은 어렵습니다.	main-forum	1
그저 당신이 알고 있는 것에 당신의 대답을 근거해야 한다. 그것이 당신이 원하는 것이다.	그래서 만약 그것이 당신이 필요로 하는 것이라면, 당신은 그것에 대해 분명히 해야 한다.	main-forum	1
네, 당신은 당신의 경험을 언급해야 합니다.	그래, 너는 이력서를 만들어야 해.	main-forum	2
나는 네가 시험을 치른 것이 좋다고 생각한다.	나는 그것이 훌륭한 계획이라고 생각한다.	main-forum	2
당신은 알 필요 없어.	그 외에는 당신은 세금 문제가 없다.	main-forum	0
네, 이것에 반하는 규칙이 있습니다.	그것에 반대하는 규칙은 없다.	main-forum	1
당신의 목표들은 무엇인가요?	당신의 목표들은 무엇인가요?	main-forum	5
