sen1	sen2	src	score
크랙린 로지 바이 닐 다이아몬드 우리는 모두 많은 불가사의로 가득 찬 그릇이다.	바비 조타수에 의한 징글 벨 록 우리는 모두 많은 불가사의로 가득 찬 그릇이다.	main-forum	1.6
어떤 사람들은 이 기관들을 운영하는 사람들에 대해 완전히 확신하고 있다.	다른 사람들은 이 기관들을 운영하는 사람들에게 전혀 자신감이 없다.	main-forum	1.6
느슨한 변화는 소설의 작품으로 시작되었다.	그것은 소설의 작품으로 완성되었다.	main-forum	2.2
만약 그것이 삶이 아니었다면, 그것은 태어날 수 없었을 것이다.	만약 그것이 살아 있지 않다면, 그것은 스스로 유산할 것이다.	main-forum	3
GL, Terral, 그것은 정말 놀랍다.	안녕 올리 : 그것은 정말 놀랍습니다.	main-forum	2.4
우리가 백인과 흑인이 %라고 가정해보자.	'백색과 % 검정색'이 있는 곳을 상상해 보세요.	main-forum	3.77777777777778
"""요정은 존재하지 않는다"" - 좋아."	"""레프리콘은 존재하지 않는다"" - 좋아."	main-forum	1
만약 그렇다면, 그것이 그들이 사실이 아닌 이유라고 말해라.	제발, 그들이 사실이 아닌 것은 어떻게 해야 할까?	main-forum	3.2
-말도 안하고, '-아무것도 안하고.	그 일에 대해 이야기하는 것보다 더 나쁘고 아무것도 하지 않는 것 이다.	main-forum	2.8
"""핵에 반대하는 것은""핵을 사용하고 싶지 않다는 것을 의미하지는 않습니다."	"""핵 사용에 반대한다는 것은""핵을 사용하고 싶지 않다는 것을 의미합니다."	main-forum	1.4
내 조카는 흑인 남자와 결혼했다.	내 위대한 조카딸은 반은 흑인이다.	main-forum	1.4
영국 인구는 백만 명을 조금 넘는다.	일본 인구는 거의 백만 명에 이른다.	main-forum	1
나는 보안관을 쐈다.우리는 모두 많은 불가사의로 가득 찬 배들이다.	우리는 모두 많은 불가사의로 가득 찬 그릇이다.	main-forum	3.4
나는 이것이 아무것도 아니길 바란다.	모든게 잘되길 바래!	main-forum	2
내가 벨로시랩터를 입양하는데 쓴 돈	내가 벨로시랩터를 입양하는 데 쓴 돈.......	main-forum	4.2
그래서, 당신은 실제로 테랄이 쓴 모든 단어를 믿나요?	GL, TERAL HI CON : 그래서, 당신은 실제로 테랄이 쓴 모든 단어를 믿습니까?	main-forum	4.2
무엇이 팔리지 않았는가?	그것은 판매된 방식이 아니다, GB.	main-forum	1.6
나는 내가 그가 되고 싶지 않다는 것을 안다.	나도 그가 되고 싶지 않아.	main-forum	4.4
무기는 없었다.	물론 무기는 없었다.	main-forum	4.6
그것은 너무 멍청해서 그것이 진실이어야만 한다.	그것이 사실일 수도 있다고 생각하는 것은 재미있다.	main-forum	3
개인적인 책임은?	다시, 개인적인 책임.	main-forum	4.4
당신이 말하는 비이성적인 것들에 대해 알아차리나요?	그리고 공정하게 말하자면, 당신이 말하는 비이성적인 것들을 알아차리나요?	main-forum	4.57142857142857
나는 그것을 인구조사의 뒷부분에서 맨 위 모자로 뽑은 것 같다.	인구조사가 뒷부분이 모자에 들어가나요?	main-forum	2.6
어떻게 이게 부시에 대해 기울어져있지?	부시에 대한 경사는 어디인가?	main-forum	4.4
만약 그것이 헛소리가 아니었다면 동종 요법이 아닐 것이다.	그게 만약 헛소리가 아니었다면 동종 요법이 아닐 것이다.	main-forum	4.8
나는 그가 지나치게 밀리그램을 쓴다고 비난한 적이 없다.	나는 그가 야구를 조작했다고 비난한 적이 없다.	main-forum	0.4
구제금융은 Tarp Bloomberg 뉴스보다 더 컸다.	구제금융은 방수포보다 더 컸다 이 제목은 오해의 소지가 있다.	main-forum	3.8
부모님께서는 당신에게 나쁘다고 말씀하셨어요.	경찰관들이 당신에게 안 좋다고 내게 말해줬습니다.	main-forum	2
그의 입장은 그것이 개인의 위험이라고 가정하는 것이다.	그의 입장은 현재와 같다.	main-forum	1
더 읽어보십시오: 낙태 찬성하는 사람은 만나본 적이 없습니까?	낙태 찬성하는 사람을 만난 적이 없습니까?	main-forum	4.8
나는 돈이 있는 사람들과는 아무 문제 없다!	나는 이 사람들, 여기에서 많은 사람들에게 문제를 가지고 있다!	main-forum	0.2
닉슨, 포드, 카터가 유전을 폐쇄했다고?	노는 유전을 폐쇄했다.	main-forum	2
나는 신경쓰는 대통령이 되고 싶지 않다.	나는 카리스마 있는 대통령을 원하지 않는다.	main-forum	1
꼭 뇌사일 필요는 없다.	나는 제안된 모델이 없다.	main-forum	0
미사일 증거도 없고.	미사일 목격자는 없다.	main-forum	3.2
선생님들이 당신에게 나쁘다고 말씀하셨어요.	경찰관들이 당신에게 안 좋다고 내게 말해줬습니다.	main-forum	2.2
세상에, 임신증후군이 있는 사람은 나에요.	임신 시세표가 있다.	main-forum	4.2
그렇다면 그는 전능하지 않다.	그러면 그는 악의적이다.	main-forum	1.4
개 얼굴용 주석 호일 모자, 어떤 사이즈를 입나요?	정어리용 주석 호일 모자, 어떤 사이즈를 입나요?	main-forum	3
마리화나 관련 범죄로 총에 맞아 죽은 올해처럼.	또는 그 살짜리 소년은 마리화나 판매상들에 의해 자동 무기로 총에 맞아 죽었다.	main-forum	4.2
만약 당신이 히트를 치기 위해 뛰어오르면, 당신은 페널티를 받게 될 것이다.	만약 당신의 막대기가 남자의 얼굴을 때린다면, 당신은 페널티를 받게 될 것이다.	main-forum	2.6
모든 전기 에너지는 배터리에서 나온다.	모든 전기 에너지는 궁극적으로 교류 발전기에서 나온다.	main-forum	2.4
얼마나 많은 승객들이 증언을 했는지, 그들이 뭐라고 했는지 아세요?	빙산을 본 승객이 몇 명이나 되나요?	main-forum	2.4
남성과 여성 비율이 높은 장소를 상상해 보라.	'백색과 % 검정색'이 있는 곳을 상상해 보세요.	main-forum	1.6
시나리오 A는 공동 성장률이 .% / yr로 가속된다고 가정합니다.	메탄 성장 속도가 .% / yr로 가속된다고 가정합니다.	main-forum	1.75
그들은 최근의 감소로 인해 실제로 냉각 추세를 보여 왔다.	최근의 감소로 인해 냉각 추세를 보십시오.	main-forum	4.6
우리는 모두 많은 불가사의로 가득 찬 그릇이다.	고양이의 기억에 의지하는 우리 모두는 많은 불가사의로 가득 찬 배들이다.	main-forum	3
반복하자면, 그들은 이전처럼 주권적이지 않다.	그들은 이전처럼 주권적이지 않다.	main-forum	4.5
그러나, 접촉이 없고 완전히 신뢰할 수 없는 것은 그렇지 않을 것이다.	불신하고 만져지지 않는?	main-forum	4.25
그것은 대부분 네덜란드인이다.	사실, 그것은 단지 네덜란드인이다.	main-forum	3.6
천사와 핀에 대해 다시 얘기하는 거 맞지?	@ lustig Andrei, 우리는 천사와 공통 핀에 대해 다시 이야기하고 있습니다. 맞죠?	main-forum	4.8
트레이본의 성격에 대한 주장과 내가 언제 그랬지?	경사진 블로그를 언제 했더라?	main-forum	2.6
%P는 낙태 서비스에 얼마나 많은 돈을 들일까요?	낙태 서비스에 얼마나 쓰이나요?	main-forum	2.6
왜 그 거래가 일어났는가?	거래가 성사되었나요?	main-forum	2.4
수정 후 난자 세포는 더 이상 없다.	더 이상 정자 세포는 없다.	main-forum	2.4
레이시 - 돌아온 걸 환영해!	어쨌든, 돌아온 걸 환영해.	main-forum	4
더 사실 확인 : 나는 왜 누군가가 $에 대해 소란을 피우는지 모르겠다.	나는 왜 누군가가 $에 대해 소란을 피우는지 모르겠다, 내기.	main-forum	4.4
만약 당신이 어떠한 주장도 하지 않았다면, 그렇게 말하세요.	나는 어떤 주장도 하지 않았다.	main-forum	2.4
어떤 대처주의자도 스스로를 자유주의자라고 부를 수 없다.	대처인들이 스스로를 자유주의자라고 부를 때, 나는 그것을 불쾌하게 한다.	main-forum	2.4
문제는 누가 돈을 가지고 있느냐가 아니다.	문제는 누가 돈이 없는가이다.	main-forum	2.46666666666667
하지만 실제로 그 바다에 빙산이 있었다고 믿으세요?	나는 타이타닉 근처에 빙산이 전혀 없었다고 믿지 않는다.	main-forum	2.8
오리올스 게임의 나쁜 게임데이는 나에게 얼어붙지 않는다.	오리올스 게임의 게임데이는 나에게 얼어붙었다.	main-forum	3
만약 그렇다면, 많은 경찰들이 강수제를 복용해야 한다.	만약 그렇다면, 많은 발명가들이, 작가들은 처방약을 복용해야 한다.	main-forum	2.4
그 혐의가 무엇인지 우리에게 말해라.	그래, 그의 혐의는 무엇인가?	main-forum	4
그것들은 부분적인 사이코패스들이다.	테드 번디가 부분적인 사이코패스였나요?	main-forum	1.8
역사를 무시하는 사람들은 그것을 반복할 운명이다.	역사를 무시하는 두 사람을 때려눕히면, 그 역사를 반복할 운명이다.	main-forum	4.2
이것은 전쟁 배치가 아니다.	그것은 공식적인 배치가 아니다.	main-forum	2.4
일화의 복수형은 데이터가 아니다 신사들에게 샤페론이 필요했는가?	일화의 복수형은 데이터가 아니다	main-forum	3.6
좋아, 방금 들어왔어.	그냥 들어가도 괜찮지 않아.	main-forum	4
H와 나는 둘 다 책을 읽고 영화가 너무 빨리 움직인다고 생각했다.	나는 책을 읽지 않았지만 오늘 영화를 보았다.	main-forum	3
하지만, 그것은 몰로크 장면이 아니다.	이것은 몰로크 장면이다.	main-forum	2.4
@ lustig Andrei, 그래서 린든 존슨과 존 케네디는 양립할 수 있었습니까?	@ Edgarblythe, 그래서 린든 존슨과 존 케네디는 양립할 수 있었습니까?	main-forum	4.4
당신은 결정을 내려야 한다.	논리 기술을 연마해야 한다.	main-forum	0.6
그 후에 집으로 걸어와서 잠이 드는 사람.	집으로 걸어와 아내를 때리는 세 걸음의 집.	main-forum	1.4
- 드피자와 나는 당신이 얼마나 징징대는 작은 침대가 젖었는지 잊고 있었다.	그리고 나는 네가 얼마나 징징거리는 작은 침대가 젖었는지 잊었다.	main-forum	3.8
"논쟁은 ""알버트 아인슈타인은 대학에 가지 않았다"" 였다."	"옴, ""아인슈타인은 대학에 가지 않았다."""	main-forum	4.2
자본이득, 최고 금리 : 퍼센트.	소득세, 최고 금리 : 퍼센트.	main-forum	2.4
비엥은 받아들일 수 없다.	술에 취하는 것은 용납할 수 없다.	main-forum	1
그는 몇 년 동안 재미없었다.	래리 버드 멜먼이 쇼에 나온 이후로 그는 재미없었다.	main-forum	3.4
우주가 그 존재에 대한 설명을 가지고 있다면, 그 설명은 신이다.	그러므로, 우주는 그 존재에 대한 설명을 가지고 있다.	main-forum	2.4
그들을 위해 싸우는 대가로 우리가 얻는 것은 무엇인가?	--------------------------------------------------------------------------	main-forum	5
그것은 농담 결혼을 멈추지 않을 것이다.	그리고 나는 결혼을 위해 싸우지 않는다.	main-forum	1.2
만약 그들이 유대인이라면, 나는 그들을 유대인이라고 부를 것이다.	만약 그들이 카톨릭 신자라면, 나는 그들을 카톨릭 신자라고 부를 것이다.	main-forum	2.2
그녀는 위대한 숙녀였다.	그녀는 좋은 여자였다.	main-forum	4
그는 성공했기 때문에 부자가 아니다.	왜 사람들이 성공적이기 때문에 싫어하는가?	main-forum	0.8
당신만큼 짜증나지 않소.	당신은 헨리만큼 짜증나는 것 같다.	main-forum	1.75
그것은 상식/연역적 추론이다.	상식과 연역적 추론을 없애버렸죠.	main-forum	2.5
이미 그렇게 하셨잖아요.지금은 무슬림이 일하고 있어요.	지금 기독교인이 사무실에 있는데....	main-forum	0.8
나는 그녀가 어떤 노동력의 일원이 될 필요가 없다고 말했다.	앤 롬니는 결코 밖으로 나가 노동력의 일부가 될 필요가 없었다.	main-forum	3.4
드림테크는 내가 아는 한 사정이 없었다.	내가 아는 한 그것은 사정된 적이 없다.	main-forum	3
나는 우리가 / 랜드 이후로 부드러워졌다고 말하지 않았다.	나는 네가 부드러워졌다고 말했다.	main-forum	1.2
우리는 모두 우리가 기대하는 것을 얻고 있다고 믿는다.	대부분의 시간, % 는 우리가 기대하는 것을 얻고 있다.	main-forum	3.8
비열한 벤, 그 남자에 대한 변명을 찾으려고 하지 마라.	벤, 그 남자에 대한 변명을 찾으려고 하지 마.	main-forum	4.4
다른 나라에서는 다르지 않습니까?	그래서, 짧은 형태, 네, 그것은 아마도 다른 나라에서 다를 것입니다.	main-forum	3.6
새로운 연구는 당신의 주장을 지지하지 않는다.	물리적인 증거는 당신의 주장을 뒷받침하지 않는다.	main-forum	2.2
그는 모든 수준에서 말했다.	하지만 그는 모든 단계를 말했다.	main-forum	4.6
도덕은 존재하지 않으므로, 기술적으로는 도덕적으로 잘못될 수 없다.	나는 다시 한번 신이 존재하지 않는 것이 도덕적으로 잘못될 수 있는지 묻는다	main-forum	2.2
나는 그것이 대부분 네덜란드인이라고 생각했다.	그것은 대부분 네덜란드인이다.	main-forum	4
조니 수학에 의한 완구랜드는 우리 모두는 많은 불가사의로 가득 찬 배들이다.	호랑이의 눈은 우리 모두는 많은 불가사의로 가득 찬 배들이다.	main-forum	3.2
이 일이 법정에서 진행되도록 하자.	이 일이 법정에서 벌어지는 것을 막는 것은 아무것도 없다.	main-forum	3.8
갱단에 있는 것은 범죄가 아니다.	갱단에서 범죄를 저지르는 것은 범죄이다.	main-forum	1.8
나는 이란에게 거래를 제안할 것이다.	척, 이란에게 거래를 제안할거야.	main-forum	4.2
네, 둘 다 다릅니다.	의견은 다르다.	main-forum	1.2
애니가 그런 성욕을 사용해본 적이 있나요?	한 단어: 좀비들은 애니가 그런 성욕을 사용해본 적이 있나요?	main-forum	3.8
순수한 공산주의: 당신은 두 마리의 소를 가지고 있습니다.	자유주의자/무정부 자본주의: 당신은 두 마리의 소를 가지고 있습니다.	main-forum	2.4
당신은 과학자들을 받침대에 올려야 한다.	왜 당신 같은 사람들은 과학자를 받침대에 올려놓는가?	main-forum	3.4
그들이 숨기려고 하는 것은 무엇인가?	그리고 나서 나는 물었다: 그들이 무엇을 숨기려고 하는가?	main-forum	3.6
그 때문에 그들의 죽음에 부분적으로 책임이 있는 겁니다.	내 생각에는, 그것은 너를 일종의 액세서리로 만들 것이다.	main-forum	3
"""다른 사람들의 건강 관리비를 지불하시겠습니까?"""	"""안전벨트를 매고 싶으세요?"""	main-forum	0
그들은 이전처럼 주권적이지 않다.	반복하자면, 그들은 이전처럼 주권적이지 않다.	main-forum	4.4
나는 오바마가 두 악의 덜한 것으로 보지 않는다.	나는 그를 전혀 악으로 보지 않는다.	main-forum	2
아니면 짐 크로스에 의한 이번 것은 우리 모두 많은 불가사의로 가득 찬 그릇이다.	우리는 모두 많은 불가사의로 가득 찬 그릇이다.	main-forum	3.2
요점은 비무장한 아이가 살해되었다는 것이다.	요점은 흑인인 비무장 아동이 살해되었다는 것이다.	main-forum	3.4
"짐머만은 ""여기서 뭐 하는 거야?"""	"마틴은 ""왜 날 따라오고 있는 거야?"""	main-forum	0.9
내가 문제가 있다는 것을 하는 종교는 없다.	내가 문제없이 하는 종교는 그렇지 않다.	main-forum	1.6
만약 내가 화난다면, 그 스캔들 중 하나에 나타날 것이다.	만약 내가 과민반응을 한다면, 그 스캔들 중 하나에 나타날거야.	main-forum	3.2
XYZ 주식회사에서 10억 달러를 사고 싶다면 누가 신경이나 쓰겠어?	만약 당신이 집이나 SUV를 사고 싶다면, 누가 신경이나 쓰겠는가?	main-forum	1.4
멕시코의 현재 번영 수준인 세계 모든 사람들.	"현재 ""번영"" 단계의 북서 아프리카에 있는 모든 사람들"	main-forum	1.53333333333333
가끔 나는 권력을 갖는 것에 대해 공상을 한다.	가끔 나도, 내가 미친짓을 하기 전에 사람들을 구부리는 것에 대한 환상을 품기도 한다.	main-forum	4.2
부모님께서는 당신에게 나쁘다고 말씀하셨어요.	보안관이 당신에게 안 좋다고 했어요.	main-forum	2.8
아틀라스는 또한 어리석은 짓이라는 점에서 뛰어난 연기자이기도 하다.	그것은 또한 어리석은 짓이라는 점에서 뛰어난 연기자이다.	main-forum	3.6
마틴은 그게 사실이 아니라는 걸 어떻게 모를 수 있을까?	마틴이나 다른 사람들은 그의 행동에 근거해서 그의 의도를 어떻게 알까?	main-forum	2.4
규제는 정부를 모든 일에 끌어들이게 한다.	"""정부를 모든 일에 끌어들이는 것?"""	main-forum	2.4
네, 저는 모든 포장이 제 주장에서 재활용될 수 있을 것이라고 생각했습니다.	나는 내 주장에서 이것 또한 추측해 왔다.	main-forum	2.8
배심원 무효화는 법이 위헌이라는 것을 의미하지는 않는다.	배심원 무효화는 법이 헌법이 아니라는 것을 의미하죠?	main-forum	3.6
그것은 단지 세포의 무리일 뿐이다.	난 세포 다발이야	main-forum	2.2
만의 작품은 모두 수학에 관한 것이었다.	만의 작품과 HS는 모두 나무 고리에 관한 것이었다.	main-forum	1.6
켈리라는 사람 소식을 듣게 되어 정말 유감입니다.	정말 미안해, 켈리.	main-forum	4
나는 맛이 나는 맥주를 좋아하지 않는다.	나는 많은 맛이 나는 음료를 좋아하지 않는다.	main-forum	3
모든게 잘되길 바래!	나는 너의 이오가 괜찮기를 바란다.	main-forum	1.6
당신이 원하는 대로: 히틀러가 유대인을 죽이는 것을 보나요?	히틀러가 유태인을 죽이는 것을 보셨나요?	main-forum	4.6
그리고 난 너의 친구인 미트야.	당신의 좋은 친구 글러브	main-forum	4
그것은 선택의 여지를 의미한다.	나쁜 선택을 의미하는 것은 아니다.	main-forum	1.6
내가 쓴 것을 다시 읽어야 할 것 같아.	내가 쓴 것을 다시 읽어야 한다.	main-forum	5
"엄마가 들어와서 ""저 소리는 뭐야?"""	우리 애들이 들어와서 '저 아빠 뭐야?'라고 말했죠	main-forum	1.8
나의 최선은, 내 전 약혼자가 VA나 해군 의사를 사용하지 않을 것이다.	제이 제 전 약혼자는 VA나 해군 의사를 사용하지 않을 것입니다.	main-forum	3.6
홀더는 3페이지 분량의 편지를 제출했다.	판사들은 3페이지 분량의 편지를 제출하라고 명령한다.	main-forum	2.8
@ lustig Andrei, lustig, 동의했습니다.	@ lustig Andrei, 감사합니다, lustig.	main-forum	2.2
이것은 에 있는 옛 기록을 능가한다.	이것은 에 설정된 일일 기록을 깨뜨린다.	main-forum	4.8
이게 얼마나 합법적인지는 모르겠지만, 나는 그가 자살충동을 하고 있다고 들었다.	그래서, 나는 이것이 얼마나 합법적인지 모르지만, 그래.	main-forum	1.6
의회세는 대부분의 사람들에게 동결되지 않았나요?	대부분의 사람들에게 의회 세금이 동결되지 않았나요?	main-forum	4.8
네 얼간이가 점점 더 진부해지고 있어.	너의 여성혐오가 점점 더 심해지고 있다.	main-forum	0.4
그게 어떻게 작동하는가?	아니, 그건 그렇게 작동하지 않아.	main-forum	1.6
에 숨을 쉬고, 숨을 쉬고, 계속 나아가라.	부화하하가 에 숨을 쉬고, 숨을 내쉬고, 계속 나아가라.	main-forum	4.4
그들이 더 일관되고 더 가까워질 때까지 기다려라.	수축이 점점 더 강해지고 가까워지기를 기다려라.	main-forum	3.8
오바마는 극단적이고 좌파적이다.	오바마는 극좌파의 일부이다.	main-forum	4.8
@ 프랭크 아피사, 당신이 그것을 뭐라고 부르고 싶은지는 당신에게 달려 있습니다.	@ cyracuz, 당신이 그것을 뭐라고 부르고 싶은가는 당신에게 달려 있습니다.	main-forum	2.5
배심원 무효화는 법의 합헌성과는 아무 상관이 없다.	배심원 무효화는 법이 헌법이 아니라는 것을 의미하죠?	main-forum	2.6
전에 무슨 확신을 말씀하시는 거죠?	어떤 확신이 들까요?	main-forum	4.4
그래서 나는 실제로 그 작전을 읽고 내가 무엇을 알아냈는지 추측한다.	게다가 나는 이것을 발견했다 : 그래서 나는 실제로 그 작전을 읽고 내가 무엇을 알아냈는지 추측한다.	main-forum	4.6
정부는 당신이 결혼했는지 아닌지를 결정하지 않는다.	정부가 당신이 결혼하기 전에 결혼을 선언할 필요는 없다.	main-forum	3.6
민주주의는 자유에 대한 위협이다.	민주주의는 자유와는 아무 상관이 없다.	main-forum	1.8
하이 프로와 옥수수 : 몇개의 실을 만들 계획입니까?	몇개의 실을 만들 계획이야?	main-forum	4
어떤 시스템이 지금 당장 작동하지 않는지 정확히 말해 주시겠습니까?	그래서 어떤 시스템이 우리에게 효과가 없는가?	main-forum	4
오, 그리고 다시 결혼은 근본적인 인권이라고 주장한다.	특히 결혼은 근본적인 인권이라고 말한 후에.	main-forum	4
러시아인들은 왜 다마스쿠스에 있지?	다마스쿠스의 러시아인들!	main-forum	4.2
네, 희석에 관한 거예요.	어, 희석이 그렇게 되는게 아니야.	main-forum	1.8
그래, 나는 이것이 그렇게 논란이 되고 있다고 생각하지 않아.	나는 그녀가 말하는 것이 그렇게 논란이 많다고 생각하지 않는다.	main-forum	3.8
운영 혼란은 단지 사람들이 투표하는 것이다.	혼란은 단지 사람들이 투표하는 것이다.	main-forum	4
원래 존이 의심스럽게 게시한 것.	원래 엘레노어 엘리스가 게시한	main-forum	1.2
고전 가스는 모두 많은 불가사의로 가득 찬 그릇이다.	환호를 위한 주제곡 : 우리는 모두 많은 경이로움으로 가득 찬 그릇이다.	main-forum	3
나는 코넬 웨스트와 친애하는 동생과 대화를 나누고 있다.	코넬 웨스트와 대화중이네 이게 대체 뭐야?	main-forum	3
중동에는 전쟁이 없다.	"중동에는 ""전쟁""이 없다."	main-forum	4.6
그는 그를 체포할 생각이 없었다.	- 나는 그가 그를 체포할 계획이라고 말하지 않았다.	main-forum	2.4
우리는 모두 많은 불가사의로 가득 찬 그릇이다.	당신의 마음에 작은 사랑을 담아라.우리는 모두 많은 경이로움으로 가득 찬 그릇이다.	main-forum	3.6
"넌 ""세포 한 무리"""	난 세포 다발이야	main-forum	2.4
여자 얼간이는 무엇인가?	넌 여자 멍청이야.	main-forum	1.4
배심원 무효화는 법이 헌법이 아니라는 것을 의미하죠?	배심원 무효화는 법이 위헌이라는 뜻은 아니다.	main-forum	2
그것은 분명히 예전과는 다르다.	투표로 투표한 것은 확실히 예전과는 다르다.	main-forum	4
그 책임은 소비자에게 안전하다고 확신시키기 위해 제품의 제조사에 있다.	제조업자는 정부가 안전하다고 확신시켜야 한다.	main-forum	3.4
나는 당신이 사업가들에게 요점을 놓치고 있다고 생각한다.	다시 한번 나는 당신이 트웨인 인용문의 요점을 놓치고 있다고 생각한다.	main-forum	0.8
"""사이클로페는 존재하지 않는다"" - 좋아."	"""고블린들은 존재하지 않는다"" - 좋아."	main-forum	1.6
"""그 안에는 정신 질환이 있었습니다. 이제 그들은 당신에게 무엇을 가르치고 있습니까?"""	그는 그것이 정신 질환이라고 말했다, 어떻게 그렇게 편협한 것이냐?	main-forum	1.6
Landon 그리고 이것은 크리스마스입니다.우리는 모두 많은 불가사의로 가득 찬 배들입니다.	불로 놀아라 우리는 모두 많은 불가사의로 가득 찬 그릇이다.	main-forum	1.8
부시는 그의 예산에 대한 공로를 인정받지 못한다.	그리고 오바마는 그의 밑에 있는 예산에 대해 제로 크레딧을 받는다.	main-forum	1.8
죄 많은 사람들은 천국에 가지 못한다.	죄는 천국으로 들어가면 없어진다.	main-forum	1.8
홀리 홀리 홀리 우리 모두는 많은 불가사의로 가득 찬 그릇이다.	우리가 모두 많은 불가사의로 가득 찬 그릇이라고 말하세요.	main-forum	3.8
"시카고에서 ""답""이 뭐였지?"	캘리포니아에서의 반응은 무엇인가?	main-forum	1.2
그 모든 것이 말이 안 된다.	그게 말이 안 되는지 보라.	main-forum	4.2
누가 살인 가스실을 운영한 것 같습니까?	기억을 되살려라: 누가 살인 가스실을 운영했는가?	main-forum	4.8
